# This is a comment. Comments start with #
SECTION_HORIZON
# All instances start on a Monday
# The horizon length in days:
56

SECTION_SHIFTS
# ShiftID_17, Length in mins, Shifts which cannot follow this shift | separated
E_17,480,
D_17,480,E_17
L_17,480,E_17|D_17
N_17,480,E_17|D_17|L_17

SECTION_STAFF
# ID_17, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
A_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
B_17,E_17=56|D_17=0|L_17=56|N_17=0,17280,16800,5,2,2,4
C_17,E_17=56|D_17=56|L_17=0|N_17=10,17280,16800,5,2,2,4
D_17,E_17=56|D_17=56|L_17=56|N_17=0,17280,16800,5,2,2,4
E_17,E_17=56|D_17=56|L_17=0|N_17=10,17280,16800,5,2,2,4
F_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
G_17,E_17=56|D_17=0|L_17=56|N_17=10,17280,16800,5,2,2,4
H_17,E_17=56|D_17=0|L_17=56|N_17=0,17280,16800,5,2,2,4
I_17,E_17=56|D_17=56|L_17=0|N_17=0,17280,16800,5,2,2,4
J_17,E_17=56|D_17=56|L_17=56|N_17=0,17280,16800,5,2,2,4
K_17,E_17=56|D_17=56|L_17=0|N_17=10,17280,16800,5,2,2,4
L_17,E_17=56|D_17=0|L_17=56|N_17=10,17280,16800,5,2,2,4
M_17,E_17=56|D_17=56|L_17=56|N_17=0,17280,16800,5,2,2,4
N_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
O_17,E_17=56|D_17=0|L_17=0|N_17=10,17280,16800,5,2,2,4
P_17,E_17=0|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
Q_17,E_17=56|D_17=0|L_17=56|N_17=10,17280,16800,5,2,2,4
R_17,E_17=56|D_17=56|L_17=0|N_17=10,17280,16800,5,2,2,4
S_17,E_17=56|D_17=56|L_17=56|N_17=0,17280,16800,5,2,2,4
T_17,E_17=56|D_17=0|L_17=56|N_17=10,17280,16800,5,2,2,4
U_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
V_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
W,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
X_17,E_17=56|D_17=56|L_17=56|N_17=0,17280,16800,5,2,2,4
Y_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
Z_17,E_17=56|D_17=0|L_17=0|N_17=10,17280,16800,5,2,2,4
AA_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
AB_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
AC_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
AD_17,E_17=56|D_17=56|L_17=56|N_17=10,17280,16800,5,2,2,4
AE_17,E_17=56|D_17=56|L_17=56|N_17=10,16200,15720,4,2,2,4
AF_17,E_17=56|D_17=56|L_17=56|N_17=10,16200,15720,4,2,2,4

SECTION_DAYS_OFF
# EmployeeID_17, DayIndexes (start at zero)
A_17,24,25,35,36,37
B_17,0,1,25,39,52
C_17,13,14,38,49,50
D_17,34,35,36,37,38
E_17,19,20,31,32,48
F_17,6,7,8,33,53
G_17,14,15,16,43,44
H_17,5,6,7,15,34
I_17,19,20,21,48,49
J_17,18,19,20,21,24
K_17,3,4,15,41,42
L_17,27,28,29,30,40
M_17,20,21,52,53,54
N_17,4,5,6,7,12
O_17,2,3,4,5,6
P_17,31,44,45,46,47
Q_17,2,6,7,43,44
R_17,48,49,50,51,52
S_17,21,22,23,37,38
T_17,8,9,10,11,20
U_17,5,6,7,41,42
V_17,5,29,30,31,32
W,6,7,8,9,10
X_17,9,10,11,12,13
Y_17,24,25,26,27,28
Z_17,4,22,41,42,43
AA_17,10,25,26,27,35
AB_17,1,2,3,53,54
AC_17,32,33,34,35,36
AD_17,25,26,40,41,42
AE_17,4,5,6,7,34
AF_17,27,28,29,52,53

SECTION_SHIFT_ON_REQUESTS
# EmployeeID_17, Day, ShiftID_17, Weight
A_17,41,E_17,3
A_17,49,D_17,2
A_17,50,D_17,2
A_17,51,D_17,2
A_17,52,D_17,2
A_17,53,D_17,2
B_17,15,E_17,3
B_17,16,E_17,3
B_17,41,E_17,2
B_17,42,E_17,2
B_17,43,E_17,2
B_17,44,E_17,2
B_17,45,E_17,2
B_17,53,E_17,2
B_17,54,E_17,2
C_17,22,N_17,2
C_17,23,N_17,2
C_17,24,N_17,2
C_17,25,N_17,2
C_17,39,N_17,3
C_17,40,N_17,3
C_17,41,N_17,3
C_17,42,N_17,3
D_17,7,L_17,3
D_17,8,L_17,3
D_17,24,E_17,2
D_17,51,D_17,1
D_17,52,D_17,1
D_17,53,D_17,1
E_17,11,D_17,1
E_17,12,D_17,1
E_17,13,D_17,1
E_17,14,D_17,1
E_17,15,D_17,1
E_17,22,N_17,1
E_17,34,N_17,1
E_17,35,N_17,1
E_17,36,N_17,1
E_17,53,N_17,2
F_17,0,L_17,2
F_17,1,L_17,2
F_17,5,D_17,1
F_17,13,E_17,1
F_17,14,E_17,1
F_17,15,E_17,1
G_17,17,L_17,1
G_17,21,L_17,1
G_17,22,L_17,1
G_17,23,L_17,1
G_17,24,L_17,1
G_17,25,L_17,1
G_17,46,E_17,2
G_17,47,E_17,2
G_17,48,E_17,2
G_17,49,E_17,2
G_17,50,E_17,2
H_17,17,L_17,1
H_17,18,L_17,1
H_17,19,L_17,1
H_17,20,L_17,1
H_17,21,L_17,1
H_17,32,L_17,3
H_17,33,L_17,3
H_17,38,L_17,3
H_17,39,L_17,3
H_17,40,L_17,3
H_17,41,L_17,3
H_17,42,L_17,3
I_17,2,E_17,1
I_17,3,E_17,1
I_17,4,E_17,1
I_17,10,D_17,3
I_17,11,D_17,3
I_17,12,D_17,3
I_17,13,D_17,3
I_17,23,E_17,1
I_17,24,E_17,1
I_17,25,E_17,1
I_17,51,E_17,2
I_17,52,E_17,2
I_17,53,E_17,2
I_17,54,E_17,2
I_17,55,E_17,2
J_17,3,L_17,1
J_17,12,E_17,2
J_17,13,E_17,2
J_17,42,E_17,3
J_17,49,D_17,2
J_17,50,D_17,2
K_17,5,D_17,1
K_17,17,N_17,3
K_17,18,N_17,3
K_17,23,D_17,1
K_17,24,D_17,1
K_17,28,E_17,2
K_17,29,E_17,2
K_17,30,E_17,2
K_17,31,E_17,2
K_17,50,N_17,2
K_17,51,N_17,2
K_17,52,N_17,2
K_17,53,N_17,2
K_17,54,N_17,2
L_17,41,N_17,1
L_17,42,N_17,1
L_17,43,N_17,1
L_17,44,N_17,1
L_17,49,L_17,1
L_17,50,L_17,1
L_17,51,L_17,1
M_17,3,E_17,1
M_17,4,E_17,1
M_17,12,L_17,2
M_17,13,L_17,2
M_17,14,L_17,2
M_17,15,L_17,2
M_17,41,D_17,2
M_17,42,D_17,2
M_17,47,L_17,3
M_17,48,L_17,3
M_17,49,L_17,3
N_17,15,D_17,3
N_17,16,D_17,3
N_17,22,L_17,1
N_17,23,L_17,1
N_17,24,L_17,1
N_17,25,L_17,1
N_17,26,L_17,1
N_17,31,L_17,1
N_17,32,L_17,1
N_17,33,L_17,1
N_17,34,L_17,1
N_17,35,L_17,1
O_17,33,E_17,1
O_17,34,E_17,1
O_17,35,E_17,1
O_17,36,E_17,1
O_17,42,N_17,1
O_17,43,N_17,1
O_17,44,N_17,1
O_17,45,N_17,1
O_17,46,N_17,1
O_17,50,E_17,2
O_17,51,E_17,2
P_17,0,D_17,1
P_17,1,D_17,1
P_17,2,D_17,1
P_17,3,D_17,1
P_17,8,D_17,3
P_17,9,D_17,3
P_17,10,D_17,3
P_17,11,D_17,3
P_17,22,L_17,3
P_17,23,L_17,3
P_17,24,L_17,3
P_17,25,L_17,3
Q_17,19,E_17,2
Q_17,20,E_17,2
Q_17,27,E_17,2
Q_17,28,E_17,2
Q_17,29,E_17,2
Q_17,30,E_17,2
Q_17,45,L_17,3
Q_17,46,L_17,3
R_17,0,D_17,3
R_17,1,D_17,3
R_17,2,D_17,3
R_17,7,E_17,3
R_17,15,N_17,2
R_17,16,N_17,2
R_17,17,N_17,2
R_17,25,N_17,1
R_17,26,N_17,1
R_17,27,N_17,1
R_17,31,E_17,1
R_17,32,E_17,1
